miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT000455,hsa-let-7f-5p,hsa,KLK10,5655,hsa,qRT-PCR//Luciferase reporter assay,Functional MTI,20354523
MIRT000454,hsa-miR-224-5p,hsa,KLK10,5655,hsa,qRT-PCR//Luciferase reporter assay,Functional MTI,20354523
MIRT004494,hsa-miR-134-5p,hsa,ABCC1,4363,hsa,qRT-PCR//Western blot//Northern blot,Functional MTI,20371173
MIRT004495,hsa-miR-155-5p,hsa,FOXO3,2309,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20371610
MIRT000449,hsa-miR-146a-5p,hsa,TLR2,7097,hsa,qRT-PCR//flow//Luciferase reporter assay//Western blot,Functional MTI,20375304
MIRT000448,hsa-miR-650,hsa,ING4,51147,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20381459
MIRT004496,hsa-miR-145-5p,hsa,FLI1,2313,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20382729
MIRT004497,hsa-miR-7-5p,hsa,SRSF1,6426,hsa,qRT-PCR//Luciferase reporter assay//Western blot//Northern blot,Functional MTI,20385090
MIRT000445,hsa-miR-29b-3p,hsa,SP1,6667,hsa,qRT-PCR//ChIP//Western blot,Functional MTI,20385359
MIRT000442,hsa-miR-155-5p,hsa,MECP2,4204,hsa,Review//Luciferase reporter assay//qRT-PCR//Microarray,Functional MTI,20388499
MIRT000441,hsa-miR-802,hsa,MECP2,4204,hsa,Review//Luciferase reporter assay//qRT-PCR//Microarray,Functional MTI,20388499
MIRT004499,hsa-miR-27b-3p,hsa,ADORA2B,136,hsa,qRT-PCR//Luciferase reporter assay,Functional MTI,20388705
MIRT004500,hsa-miR-483-3p,hsa,BBC3,27113,hsa,qRT-PCR//Luciferase reporter assay//Western blot//Northern blot,Functional MTI,20388800
MIRT004501,hsa-miR-212-3p,hsa,PEA15,8682,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20388802
MIRT000185,hsa-miR-206,hsa,MET,4233,hsa,qRT-PCR//ChIP//Luciferase reporter assay//Western blot//Northern blot,Functional MTI,20388878
MIRT000434,hsa-miR-221-3p,hsa,FOXO3,2309,hsa,qRT-PCR//ChIP//Luciferase reporter assay//Western blot//Northern blot,Functional MTI,20388878
MIRT000433,hsa-miR-222-3p,hsa,FOXO3,2309,hsa,qRT-PCR//ChIP//Luciferase reporter assay//Western blot//Northern blot,Functional MTI,20388878
MIRT000430,hsa-miR-101-3p,hsa,APP,351,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20395292
MIRT004504,hsa-miR-148a-3p,hsa,RPS6KA5,9252,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20406806
MIRT000426,hsa-miR-145-5p,hsa,MUC1,4582,hsa,Review//Luciferase reporter assay//Western blot,Functional MTI,20407606
MIRT000425,hsa-miR-184,hsa,AKT2,208,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20409325
MIRT004505,hsa-let-7d-5p,hsa,SLC11A2,4891,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20410187
MIRT004520,hsa-let-7a-5p,hsa,IGF2,3481,hsa,Luciferase reporter assay,Functional MTI,17974952
MIRT004471,hsa-let-7a-5p,hsa,HRAS,3265,hsa,Luciferase reporter assay,Functional MTI,18083101
MIRT000399,hsa-let-7g-5p,hsa,KRAS,3845,hsa,Luciferase reporter assay,Functional MTI,18308936
MIRT000393,hsa-miR-1-3p,hsa,GATA4,2626,hsa,Luciferase reporter assay,Functional MTI,19188439
MIRT000391,hsa-miR-1-3p,hsa,MEF2A,4205,hsa,Luciferase reporter assay,Functional MTI,19188439
MIRT000390,hsa-miR-1-3p,hsa,CEBPA,1050,hsa,Luciferase reporter assay,Functional MTI,18818206
MIRT000381,hsa-miR-101-3p,hsa,EZH2,2146,hsa,Luciferase reporter assay,Functional MTI,19625769
MIRT000371,hsa-miR-107,hsa,PLAG1,5324,hsa,Luciferase reporter assay,Functional MTI,19692702
MIRT004527,hsa-miR-122-5p,hsa,PRKAB1,5564,hsa,Luciferase reporter assay,Functional MTI,16459310
MIRT000350,hsa-miR-125b-5p,hsa,GLI1,2735,hsa,Luciferase reporter assay,Functional MTI,18756266
MIRT000349,hsa-miR-125b-5p,hsa,HMGA1,3159,hsa,Luciferase reporter assay,Functional MTI,17563749
MIRT000348,hsa-miR-125b-5p,hsa,HMGA2,8091,hsa,Luciferase reporter assay,Functional MTI,17563749
MIRT000346,hsa-miR-125b-5p,hsa,BMPR1B,658,hsa,Luciferase reporter assay,Functional MTI,19738052
MIRT000343,hsa-miR-126-3p,hsa,SPRED1,161742,hsa,Luciferase reporter assay,Functional MTI,18694566
MIRT004462,hsa-miR-127-3p,hsa,XBP1,7494,hsa,Luciferase reporter assay,Functional MTI,19530237
MIRT004463,hsa-miR-127-3p,hsa,BCL6,604,hsa,Luciferase reporter assay,Functional MTI,17581274
MIRT006585,hsa-miR-128-3p,hsa,EGFR,1956,hsa,Luciferase reporter assay,Functional MTI,18304967
MIRT000329,hsa-miR-133a-3p,hsa,HCN4,10021,hsa,Luciferase reporter assay,Functional MTI,18458081
MIRT004460,hsa-miR-133b,hsa,IGF1R,3480,hsa,Luciferase reporter assay,Functional MTI,19695767
MIRT002490,hsa-miR-137,hsa,CDK6,1021,hsa,Luciferase reporter assay,Functional MTI,18577219
MIRT000320,hsa-miR-141-3p,hsa,DLX5,1749,hsa,Luciferase reporter assay,Functional MTI,19454767
MIRT000317,hsa-miR-141-3p,hsa,ZEB1,6935,hsa,Luciferase reporter assay,Functional MTI,19854497
MIRT000316,hsa-miR-141-3p,hsa,ZEB2,9839,hsa,Luciferase reporter assay,Functional MTI,19854497
MIRT004459,hsa-miR-146a-5p,hsa,NFKB1,4790,hsa,Luciferase reporter assay,Functional MTI,18504431
MIRT004530,hsa-miR-146b-5p,hsa,NFKB1,4790,hsa,Luciferase reporter assay,Functional MTI,18504431
MIRT000297,hsa-miR-148a-3p,hsa,HLA-G,3135,hsa,Luciferase reporter assay,Functional MTI,17847008
MIRT000020,hsa-miR-148a-3p,hsa,DNMT1,1786,hsa,Luciferase reporter assay,Functional MTI,20146264
MIRT000295,hsa-miR-148b-3p,hsa,HLA-G,3135,hsa,Luciferase reporter assay,Functional MTI,17847008
MIRT000293,hsa-miR-152-3p,hsa,HLA-G,3135,hsa,Luciferase reporter assay,Functional MTI,17847008
MIRT004456,hsa-miR-152-3p,hsa,DNMT1,1786,hsa,Luciferase reporter assay,Functional MTI,20146264
MIRT004455,hsa-miR-155-5p,hsa,EDN1,1906,hsa,Luciferase reporter assay,Functional MTI,19783678
MIRT000285,hsa-miR-15a-5p,hsa,CCND2,894,hsa,Luciferase reporter assay,Functional MTI,19549910
MIRT000284,hsa-miR-15a-5p,hsa,CDC25A,993,hsa,Luciferase reporter assay,Functional MTI,18949056
MIRT000282,hsa-miR-15a-5p,hsa,WNT3A,89780,hsa,Luciferase reporter assay,Functional MTI,18931683
MIRT000815,hsa-miR-15a-5p,hsa,BCL2,596,hsa,Luciferase reporter assay,Functional MTI,17707831
MIRT000276,hsa-miR-15b-5p,hsa,CCNE1,898,hsa,Luciferase reporter assay,Functional MTI,18794849
MIRT004526,hsa-miR-15b-5p,hsa,EIF4A1,1973,hsa,Luciferase reporter assay,Functional MTI,16609010
MIRT003430,hsa-miR-16-5p,hsa,WNT3A,89780,hsa,Luciferase reporter assay,Functional MTI,18931683
MIRT000263,hsa-miR-17-5p,hsa,YES1,7525,hsa,Luciferase reporter assay,Functional MTI,19734348
MIRT004525,hsa-miR-17-5p,hsa,DNAJC27,51277,hsa,Luciferase reporter assay,Functional MTI,19734348
MIRT000261,hsa-miR-17-5p,hsa,NPAT,4863,hsa,Luciferase reporter assay,Functional MTI,19734348
MIRT004529,hsa-miR-17-5p,hsa,FBXO31,79791,hsa,Luciferase reporter assay,Functional MTI,19734348
MIRT000259,hsa-miR-17-5p,hsa,NABP1,64859,hsa,Luciferase reporter assay,Functional MTI,19734348
MIRT000258,hsa-miR-17-5p,hsa,GPR137B,7107,hsa,Luciferase reporter assay,Functional MTI,19734348
MIRT000257,hsa-miR-17-5p,hsa,CCL1,6346,hsa,Luciferase reporter assay,Functional MTI,19734348
MIRT000256,hsa-miR-17-5p,hsa,ZNFX1,57169,hsa,Luciferase reporter assay,Functional MTI,19734348
MIRT004387,hsa-miR-18a-5p,hsa,TNFSF11,8600,hsa,Luciferase reporter assay,Functional MTI,16331254
MIRT000245,hsa-miR-181a-5p,hsa,CDX2,1045,hsa,Luciferase reporter assay,Functional MTI,19585654
MIRT000244,hsa-miR-181a-5p,hsa,GATA6,2627,hsa,Luciferase reporter assay,Functional MTI,19585654
MIRT000243,hsa-miR-181a-5p,hsa,NLK,51701,hsa,Luciferase reporter assay,Functional MTI,19585654
MIRT000240,hsa-miR-181b-5p,hsa,CDX2,1045,hsa,Luciferase reporter assay,Functional MTI,19585654
MIRT000239,hsa-miR-181b-5p,hsa,GATA6,2627,hsa,Luciferase reporter assay,Functional MTI,19585654
MIRT000238,hsa-miR-181b-5p,hsa,NLK,51701,hsa,Luciferase reporter assay,Functional MTI,19585654
MIRT000235,hsa-miR-181c-5p,hsa,CDX2,1045,hsa,Luciferase reporter assay,Functional MTI,19585654
MIRT000234,hsa-miR-181c-5p,hsa,GATA6,2627,hsa,Luciferase reporter assay,Functional MTI,19585654
MIRT000233,hsa-miR-181c-5p,hsa,NLK,51701,hsa,Luciferase reporter assay,Functional MTI,19585654
MIRT005432,hsa-miR-199a-5p,hsa,EDN1,1906,hsa,Luciferase reporter assay,Functional MTI,19783678
MIRT004452,hsa-miR-19a-3p,hsa,BCL2L11,10018,hsa,Luciferase reporter assay,Functional MTI,18728182
MIRT004523,hsa-miR-19b-3p,hsa,BCL2L11,10018,hsa,Luciferase reporter assay,Functional MTI,18728182
MIRT000204,hsa-miR-200a-3p,hsa,DLX5,1749,hsa,Luciferase reporter assay,Functional MTI,19454767
MIRT004524,hsa-miR-200a-3p,hsa,WASF3,10810,hsa,Luciferase reporter assay,Functional MTI,19801681
MIRT000723,hsa-miR-200b-3p,hsa,ZEB2,9839,hsa,Luciferase reporter assay,Functional MTI,18829540
MIRT002483,hsa-miR-200b-3p,hsa,ZEB1,6935,hsa,Luciferase reporter assay,Functional MTI,18829540
MIRT000192,hsa-miR-204-5p,hsa,BCL2,596,hsa,Luciferase reporter assay,Functional MTI,19074899
MIRT000177,hsa-miR-21-5p,hsa,REST,5978,hsa,Luciferase reporter assay,Functional MTI,19242418
MIRT000672,hsa-miR-21-5p,hsa,SPRY2,10253,hsa,Luciferase reporter assay,Functional MTI,18508928
MIRT000159,hsa-miR-21-5p,hsa,BCL2,596,hsa,Luciferase reporter assay,Functional MTI,17072344
MIRT000153,hsa-miR-210-3p,hsa,FGFRL1,53834,hsa,Luciferase reporter assay,Functional MTI,19782034
MIRT000152,hsa-miR-210-3p,hsa,HOXA1,3198,hsa,Luciferase reporter assay,Functional MTI,19782034
MIRT000151,hsa-miR-210-3p,hsa,PIM1,5292,hsa,Luciferase reporter assay,Functional MTI,19782034
MIRT000150,hsa-miR-210-3p,hsa,TP53I11,9537,hsa,Luciferase reporter assay,Functional MTI,19782034
MIRT000149,hsa-miR-210-3p,hsa,HOXA9,3205,hsa,Luciferase reporter assay,Functional MTI,19782034
MIRT004446,hsa-miR-219a-5p,hsa,CAMK2G,818,hsa,Luciferase reporter assay,Functional MTI,19196972
MIRT001779,hsa-miR-222-3p,hsa,KIT,3815,hsa,Luciferase reporter assay,Functional MTI,18246122
MIRT000128,hsa-miR-223-3p,hsa,MEF2C,4208,hsa,Luciferase reporter assay,Functional MTI,18278031
MIRT004522,hsa-miR-223-3p,hsa,NFIA,4774,hsa,Luciferase reporter assay,Functional MTI,17996649
MIRT000110,hsa-miR-26a-5p,hsa,HMGA1,3159,hsa,Luciferase reporter assay,Functional MTI,17563749
MIRT000109,hsa-miR-26a-5p,hsa,HMGA2,8091,hsa,Luciferase reporter assay,Functional MTI,17563749
MIRT000103,hsa-miR-298,hsa,BACE1,23621,hsa,Luciferase reporter assay,Functional MTI,18642050
MIRT004510,hsa-miR-29b-3p,hsa,TCL1A,8115,hsa,Luciferase reporter assay,Functional MTI,17707831
MIRT004509,hsa-miR-30a-5p,hsa,BECN1,8678,hsa,Luciferase reporter assay,Functional MTI,19535919
MIRT004508,hsa-miR-320a,hsa,HSPB6,126393,hsa,Luciferase reporter assay,Functional MTI,19380620
MIRT004440,hsa-miR-320a,hsa,MCL1,4170,hsa,Luciferase reporter assay,Functional MTI,19096009
MIRT000082,hsa-miR-326,hsa,GLI1,2735,hsa,Luciferase reporter assay,Functional MTI,18756266
MIRT000080,hsa-miR-328-3p,hsa,BACE1,23621,hsa,Luciferase reporter assay,Functional MTI,18716028
MIRT000053,hsa-miR-375,hsa,TIMM8A,1678,hsa,Luciferase reporter assay,Functional MTI,19734348
MIRT000048,hsa-miR-429,hsa,ZEB2,9839,hsa,Luciferase reporter assay,Functional MTI,18829540
MIRT001743,hsa-miR-429,hsa,ZEB1,6935,hsa,Luciferase reporter assay,Functional MTI,18829540
MIRT004437,hsa-miR-429,hsa,WASF3,10810,hsa,Luciferase reporter assay,Functional MTI,19801681
MIRT000044,hsa-miR-504-5p,hsa,DRD1,1812,hsa,Luciferase reporter assay,Functional MTI,19135651
MIRT000026,hsa-miR-9-5p,hsa,REST,5978,hsa,Luciferase reporter assay,Functional MTI,19137007
MIRT000025,hsa-miR-9-5p,hsa,MMP13,4322,hsa,Luciferase reporter assay,Functional MTI,19008124
MIRT000019,hsa-miR-21-5p,hsa,RASGRP1,10125,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20483747
MIRT000018,hsa-miR-222-3p,hsa,STAT5A,6776,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20489169
MIRT004533,hsa-miR-125b-5p,hsa,PRDM1,639,hsa,qRT-PCR//Luciferase reporter assay,Functional MTI,20497960
MIRT004534,hsa-miR-125b-5p,hsa,IRF4,3662,hsa,qRT-PCR//Luciferase reporter assay,Functional MTI,20497960
MIRT004535,hsa-miR-370-3p,hsa,CPT1A,1374,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20124555
MIRT004537,hsa-miR-107,hsa,ARNT,405,hsa,qRT-PCR//Luciferase reporter assay//Western blot//Northern blot,Functional MTI,20308559
MIRT004538,hsa-miR-22-3p,hsa,TFRC,7037,hsa,Luciferase reporter assay,Functional MTI,19135902
MIRT000006,hsa-miR-146a-5p,hsa,CXCR4,7852,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,18568019
MIRT000002,hsa-miR-20a-5p,hsa,HIF1A,3091,hsa,Luciferase reporter assay//Western blot//Northern blot,Functional MTI,18632605
MIRT005656,hsa-miR-451a,hsa,ABCB1,5243,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,18645025
MIRT002428,hsa-miR-373-3p,hsa,CD44,960,hsa,Western blot,Functional MTI,19158933
MIRT004082,hsa-miR-520c-3p,hsa,CD44,960,hsa,Western blot,Functional MTI,19158933
MIRT004545,hsa-miR-18a-5p,hsa,NR3C1,2908,hsa,Luciferase reporter assay,Functional MTI,19131573
MIRT004546,hsa-miR-124-3p,hsa,NR3C1,2908,hsa,Luciferase reporter assay,Functional MTI,19131573
MIRT003672,hsa-miR-33a-5p,hsa,ABCA1,19,hsa,Luciferase reporter assay,Functional MTI,20466885
MIRT004540,hsa-miR-33a-5p,hsa,NPC1,4864,hsa,Luciferase reporter assay,Functional MTI,20466885
MIRT003670,hsa-miR-33b-5p,hsa,ABCA1,19,hsa,Luciferase reporter assay,Functional MTI,20466882
MIRT004554,hsa-miR-181a-5p,hsa,CDKN1B,1027,hsa,Luciferase reporter assay//Western blot,Functional MTI,19273599
MIRT003428,hsa-miR-126-3p,hsa,VEGFA,7422,hsa,Luciferase reporter assay,Functional MTI,19223090
MIRT003659,hsa-miR-205-5p,hsa,ERBB3,2065,hsa,Luciferase reporter assay,Functional MTI,19238171
MIRT004518,hsa-miR-205-5p,hsa,VEGFA,7422,hsa,Luciferase reporter assay,Functional MTI,19238171
MIRT003637,hsa-miR-302a-3p,hsa,CCND1,595,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18710938
MIRT003636,hsa-miR-302a-3p,hsa,CDK4,1019,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18710938
MIRT004559,hsa-miR-296-5p,hsa,WNK4,65266,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20561597
MIRT003630,hsa-miR-181a-5p,hsa,PROX1,5629,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20558617
MIRT003611,hsa-miR-301a-3p,hsa,MEOX2,4223,hsa,Luciferase reporter assay,Functional MTI,20470754
MIRT004563,hsa-miR-92a-3p,hsa,ESR2,2100,hsa,GFP reporter assay,Functional MTI (Weak),20484043
MIRT003609,hsa-miR-29a-3p,hsa,DKK1,22943,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20551325
MIRT004564,hsa-miR-29a-3p,hsa,KREMEN2,79412,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20551325
MIRT003607,hsa-miR-29a-3p,hsa,SFRP2,6423,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20551325
MIRT004565,hsa-miR-299-5p,hsa,SPP1,6696,hsa,Luciferase reporter assay,Functional MTI,19538464
MIRT003605,hsa-miR-25-3p,hsa,KLF4,9314,hsa,Western blot,Functional MTI,19541842
MIRT003587,hsa-miR-335-5p,hsa,RB1,5925,hsa,Luciferase reporter assay//Western blot,Functional MTI,20713524
MIRT004575,hsa-miR-130a-3p,hsa,CSF1,1435,hsa,Luciferase reporter assay//Western blot,Functional MTI,18823650
MIRT003555,hsa-miR-302b-3p,hsa,CCND2,894,hsa,Luciferase reporter assay//Western blot,Functional MTI,18930031
MIRT004579,hsa-miR-137,hsa,KDM1A,23028,hsa,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,20682795
MIRT003549,hsa-miR-489-3p,hsa,PTPN11,5781,hsa,Luciferase reporter assay//Western blot,Functional MTI,20700123
MIRT003546,hsa-miR-204-5p,hsa,MEIS2,4212,hsa,Luciferase reporter assay//Western blot,Functional MTI,20713703
MIRT004581,hsa-miR-23b-5p,hsa,PRODH,5625,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20562915
MIRT004578,hsa-miR-125b-5p,hsa,GRIN2A,2903,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,20159450
MIRT003543,hsa-miR-145-5p,hsa,FSCN1,6624,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20160723
MIRT003542,hsa-miR-133a-3p,hsa,FSCN1,6624,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20160723
MIRT003538,hsa-miR-372-3p,hsa,NR4A2,4929,hsa,Luciferase reporter assay//Microarray,Functional MTI,19885849
MIRT003537,hsa-miR-302d-3p,hsa,NR4A2,4929,hsa,Luciferase reporter assay//Microarray,Functional MTI,19885849
MIRT003536,hsa-miR-19a-3p,hsa,NR4A2,4929,hsa,Luciferase reporter assay//Microarray,Functional MTI,19885849
MIRT003535,hsa-miR-217,hsa,NR4A2,4929,hsa,Luciferase reporter assay//Microarray,Functional MTI,19885849
MIRT003534,hsa-miR-302d-3p,hsa,ERBB4,2066,hsa,Luciferase reporter assay//Microarray,Functional MTI,19885849
MIRT003533,hsa-miR-19a-3p,hsa,ERBB4,2066,hsa,Luciferase reporter assay//Microarray,Functional MTI,19885849
MIRT003532,hsa-miR-372-3p,hsa,ERBB4,2066,hsa,Luciferase reporter assay//Microarray,Functional MTI,19885849
MIRT003526,hsa-miR-1-3p,hsa,CNN3,1266,hsa,Luciferase reporter assay,Functional MTI,20144220
MIRT003525,hsa-miR-1-3p,hsa,LARP4,113251,hsa,Luciferase reporter assay,Functional MTI,20144220
MIRT002788,hsa-miR-1-3p,hsa,TAGLN2,8407,hsa,Luciferase reporter assay,Functional MTI,20144220
MIRT003524,hsa-miR-1-3p,hsa,ATP6V1B2,526,hsa,Luciferase reporter assay,Functional MTI,20144220
MIRT003523,hsa-miR-124-3p,hsa,ELK3,2004,hsa,Luciferase reporter assay,Functional MTI,20144220
MIRT003522,hsa-let-7a-5p,hsa,AGO4,192670,hsa,Luciferase reporter assay,Functional MTI,20144220
MIRT003501,hsa-miR-181a-5p,hsa,BCL2,596,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20162574
MIRT003500,hsa-miR-181b-5p,hsa,BCL2,596,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20162574
MIRT003499,hsa-miR-181c-5p,hsa,BCL2,596,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20162574
MIRT003498,hsa-miR-181d-5p,hsa,BCL2,596,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20162574
MIRT000196,hsa-miR-200c-3p,hsa,TUBB3,10381,hsa,Western blot,Functional MTI,20049172
MIRT004602,hsa-miR-1-3p,hsa,PPP2R5A,5525,hsa,Luciferase reporter assay//Western blot,Functional MTI,19131648
MIRT003890,hsa-miR-16-5p,hsa,VEGFA,7422,hsa,Luciferase reporter assay//Western blot,Functional MTI,19144909
MIRT004603,hsa-miR-198,hsa,CCNT1,904,hsa,Luciferase reporter assay,Functional MTI,19148268
MIRT004604,hsa-miR-155-5p,hsa,TSHZ3,57616,hsa,Luciferase reporter assay,Functional MTI,19177201
MIRT004614,hsa-let-7b-5p,hsa,IFNB1,3456,hsa,ELISA//Luciferase reporter assay//qRT-PCR,Functional MTI,20130213
MIRT004615,hsa-miR-26a-5p,hsa,IFNB1,3456,hsa,ELISA//Luciferase reporter assay//qRT-PCR,Functional MTI,20130213
MIRT004616,hsa-miR-145-5p,hsa,IFNB1,3456,hsa,ELISA//Luciferase reporter assay//qRT-PCR,Functional MTI,20130213
MIRT004617,hsa-miR-34a-5p,hsa,IFNB1,3456,hsa,ELISA//Luciferase reporter assay//qRT-PCR,Functional MTI,20130213
MIRT003427,hsa-miR-27b-3p,hsa,MMP13,4322,hsa,ELISA//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20131257
MIRT003426,hsa-miR-19a-3p,hsa,CCND1,595,hsa,flow//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,20133739
MIRT002484,hsa-let-7b-5p,hsa,CCND1,595,hsa,immunoblot//Luciferase reporter assay//Northern blot//Western blot,Functional MTI,20133835
MIRT004618,hsa-let-7b-5p,hsa,NR2E1,7101,hsa,immunoblot//Luciferase reporter assay//Northern blot//Western blot,Functional MTI,20133835
MIRT003421,hsa-miR-125b-5p,hsa,KLF13,51621,hsa,Microarray//qRT-PCR//Western blot,Functional MTI,19396866
MIRT003420,hsa-miR-100-5p,hsa,MMP13,4322,hsa,Microarray//qRT-PCR//Western blot,Functional MTI,19396866
MIRT003419,hsa-miR-100-5p,hsa,FGFR3,2261,hsa,Microarray//qRT-PCR//Western blot,Functional MTI,19396866
MIRT004619,hsa-miR-590-5p,hsa,TGFBR2,7048,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,19398468
MIRT003414,hsa-miR-96-5p,hsa,CDKN1A,1026,hsa,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,19422085
MIRT003413,hsa-miR-25-3p,hsa,BCL2L11,10018,hsa,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,19422085
MIRT003394,hsa-miR-125b-5p,hsa,BMF,90427,hsa,immunoblot//Luciferase reporter assay//qRT-PCR,Functional MTI,19471102
MIRT003388,hsa-miR-27b-3p,hsa,ST14,6768,hsa,Luciferase reporter assay//Microarray//Northern blot//qRT-PCR//Western blot,Functional MTI,19546220
MIRT003382,hsa-miR-20a-5p,hsa,APP,351,hsa,GFP reporter assay//qRT-PCR//Western blot,Functional MTI,20458444
MIRT004621,hsa-miR-141-3p,hsa,ZFPM2,23414,hsa,Luciferase reporter assay//Western blot,Functional MTI,20005803
MIRT004622,hsa-miR-200a-3p,hsa,ZFPM2,23414,hsa,Luciferase reporter assay//Western blot,Functional MTI,20005803
MIRT004623,hsa-miR-200b-3p,hsa,ZFPM2,23414,hsa,Luciferase reporter assay//Western blot,Functional MTI,20005803
MIRT004624,hsa-miR-200c-3p,hsa,ZFPM2,23414,hsa,Luciferase reporter assay//Western blot,Functional MTI,20005803
MIRT004625,hsa-miR-429,hsa,ZFPM2,23414,hsa,Luciferase reporter assay//Western blot,Functional MTI,20005803
MIRT003371,hsa-miR-19b-3p,hsa,PTEN,5728,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20008935
MIRT003356,hsa-miR-34a-5p,hsa,HNF4A,3172,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20018894
MIRT003355,hsa-miR-24-3p,hsa,HNF4A,3172,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20018894
MIRT003354,hsa-miR-24-3p,hsa,TRIB3,57761,hsa,qRT-PCR//Western blot,Functional MTI,20019669
MIRT003319,hsa-miR-146a-5p,hsa,FAF1,11124,hsa,GFP reporter assay//qRT-PCR,Functional MTI (Weak),20459811
MIRT003317,hsa-miR-21-5p,hsa,RHOB,388,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20460403
MIRT003316,hsa-miR-130b-3p,hsa,RUNX3,864,hsa,qRT-PCR//Western blot,Functional MTI,20176475
MIRT001855,hsa-let-7a-5p,hsa,KRAS,3845,hsa,Western blot,Functional MTI,20033209
MIRT000417,hsa-let-7a-5p,hsa,MYC,4609,hsa,Western blot,Functional MTI,20033209
MIRT003291,hsa-miR-29a-3p,hsa,BCL2,596,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20041405
MIRT003290,hsa-miR-29b-3p,hsa,BCL2,596,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20041405
MIRT003289,hsa-miR-29c-3p,hsa,BCL2,596,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20041405
MIRT003288,hsa-miR-29c-3p,hsa,MCL1,4170,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20041405
MIRT003281,hsa-miR-141-3p,hsa,PTEN,5728,hsa,Luciferase reporter assay//Western blot,Functional MTI,20053927
MIRT003280,hsa-miR-141-3p,hsa,UBAP1,51271,hsa,Luciferase reporter assay//Western blot,Functional MTI,20053927
MIRT003279,hsa-miR-141-3p,hsa,BRD3,8019,hsa,Luciferase reporter assay//Western blot,Functional MTI,20053927
MIRT004650,hsa-miR-128-3p,hsa,TGFBR1,7046,hsa,Luciferase reporter assay//Western blot,Functional MTI,20054641
MIRT003274,hsa-miR-30d-5p,hsa,GNAI2,2771,hsa,Western blot,Functional MTI,20054866
MIRT003273,hsa-miR-204-5p,hsa,SNAI2,6591,hsa,Luciferase reporter assay,Functional MTI,20056717
MIRT003272,hsa-miR-204-5p,hsa,TGFBR2,7048,hsa,Luciferase reporter assay,Functional MTI,20056717
MIRT003239,hsa-miR-205-5p,hsa,MED1,5469,hsa,Luciferase reporter assay//Western blot,Functional MTI,20065103
MIRT003232,hsa-miR-224-5p,hsa,AP2M1,1173,hsa,Luciferase reporter assay,Functional MTI,20065103
MIRT003228,hsa-miR-424-5p,hsa,FGFR1,2260,hsa,Luciferase reporter assay,Functional MTI,20065103
